detailedaddress,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,prefecture_id,prefecture_name,county_id,county_name,township_id,township_name,addresslevel,id,name,road_id,road_name,village_id,village_name,block_id,block_name,building_id,building_name,unit_id,unit_name,floor_id,floor_name,door_id,door_name,名字,对错,描述,类型
杭州市淳安县王阜乡金家岙村郑家坦自然村72-1号（集团高价值）,nan,杭州市,淳安县,王阜乡,金家岙村, ,,郑家坦自然村 \N,,1号,,,72-\N（集团高价值）\N,2,杭州市,23,淳安县,147,王阜乡,6,106780941,（集团高价值）,56805505,金家岙村,103686601,郑家坦自然村,\N,\N,103986736,72-1号,\N,\N,106780941,（集团高价值）,\N,\N,郑涵睿,错误,building_name回填错误，72-1号应放在grade_10,算法待优化
杭州市淳安县千岛湖镇新北社区千岛花园2幢1单元2楼,nan,杭州市,淳安县,千岛湖镇,新北社区, ,,千岛花园\N,,2幢,1单元,2楼,\N,2,杭州市,23,淳安县,144,千岛湖镇,6,66168134,2楼,2521923,新北社区,5553781,千岛花园,\N,\N,5554734,2幢,5554767,1单元,66168134,2楼,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇南苑社区紫荆家园8幢2单元404室,nan,杭州市,淳安县,千岛湖镇,南苑社区, ,,紫荆家园\N,,8幢,2单元,\N,404室,2,杭州市,23,淳安县,144,千岛湖镇,7,23032964,404室,2384829,南苑社区,22614777,紫荆家园,\N,\N,23032942,8幢,23032956,2单元,\N,\N,23032964,404室,郑涵睿,正确,,
杭州市淳安县临岐镇新华村华光自然村102号1楼,nan,杭州市,淳安县,临岐镇,新华村, ,,华光自然村 \N,,102号,,1楼,\N\N,2,杭州市,23,淳安县,5146,临岐镇,6,82066823,1楼,56804879,新华村,82057827,华光自然村,\N,\N,82057835,102号,\N,\N,82066823,1楼,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇新安北路68-1号1楼,nan,杭州市,淳安县,千岛湖镇,,新安北路,,\N,,\N,,1楼, ,2,杭州市,23,淳安县,144,千岛湖镇,6,125796509,1楼,17053,新安北路,71527620,68-1号,\N,\N,\N,\N,\N,\N,125796509,1楼,\N,\N,郑涵睿,错误,village_name回填消失，68-1号,算法待优化
杭州市淳安县姜家镇狮城路文渊狮城（东大街）2F98号,nan,杭州市,淳安县,姜家镇,,狮城路,98号,\N文渊狮城（东大街）,,\N,,2F,,2,杭州市,23,淳安县,136,姜家镇,7,100167988,98号,23519910,狮城路,\N,\N,100167983,文渊狮城（东大街）,\N,\N,\N,\N,100167984,2F,100167988,98号,郑涵睿,错误,door_name回填错误，应放在grade_13。block_name括号里的东大街回填错误，应放在grade_6,算法待优化
杭州市淳安县枫树岭镇窄坑村荷家坞村10号,nan,杭州市,淳安县,枫树岭镇,窄坑村, ,,荷家坞村 \N,,10号,,\N,\N\N,2,杭州市,23,淳安县,134,枫树岭镇,4,104734903,10号,8410514,窄坑村,104734889,荷家坞村,\N,\N,104734903,10号,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县临岐镇鱼市街睦怡小区9幢1单元1楼车库2,nan,杭州市,淳安县,临岐镇,,鱼市街,,睦怡小区 \N,,9幢,1单元,1楼,车库2,2,杭州市,23,淳安县,5146,临岐镇,7,46760596,车库2,7642301,鱼市街,46760069,睦怡小区,\N,\N,46760568,9幢,46760569,1单元,46760570,1楼,46760596,车库2,郑涵睿,正确,,
杭州市淳安县千岛湖镇曙光路131号淳安经济开发区工业园综合楼3F,nan,杭州市,淳安县,千岛湖镇,,曙光路,,淳安经济开发区工业园,,综合楼,,3F, \N\N,2,杭州市,23,淳安县,144,千岛湖镇,6,107547540,3F,2201761,曙光路,49710434,131号,107547529,淳安经济开发区工业园,107547538,综合楼,\N,\N,107547540,3F,\N,\N,郑涵睿,错误,building_name回填错误，综合楼应放在grade_8,算法待优化
杭州市淳安县界首乡姚家村姚家自然村114号,nan,杭州市,淳安县,界首乡,姚家村, ,,姚家自然村 \N,,114号,,\N,\N\N,2,杭州市,23,淳安县,137,界首乡,4,74892658,114号,92434748,姚家村,69177651,姚家自然村,\N,\N,74892658,114号,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇珍珠北路青塘坞小区36幢后面1号车库,nan,杭州市,淳安县,千岛湖镇,,珍珠北路,1号,青塘坞小区 \N,,36幢,,\N,\N后面车库,2,杭州市,23,淳安县,144,千岛湖镇,7,39681884,后面1号车库,99131580,珍珠北路,110882232,青塘坞小区,\N,\N,39681802,36幢,\N,\N,\N,\N,39681884,后面1号车库,郑涵睿,错误,door_name回填错误，应放在grade_13,算法待优化
杭州市淳安县千岛湖镇新安大街千岛碧云天2号楼1单元12F楼顶,nan,杭州市,淳安县,千岛湖镇,,新安大街,2号,\N\N,,\N,,\N,千岛碧云天楼1单元12F楼顶,2,杭州市,23,淳安县,144,千岛湖镇,7,73851758,千岛碧云天2号楼1单元12F楼顶,17055,新安大街,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,73851758,千岛碧云天2号楼1单元12F楼顶,郑涵睿,错误,door_name回填错误且消失，2单元消失,算法待优化
杭州市淳安县千岛湖镇施家塘社区初阳小区2幢3单元106室,nan,杭州市,淳安县,千岛湖镇,施家塘社区, ,,初阳小区 \N,,2幢,3单元,\N,106室,2,杭州市,23,淳安县,144,千岛湖镇,7,5548190,106室,2525366,施家塘社区,2525368,初阳小区,\N,\N,5548028,2幢,5548189,3单元,\N,\N,5548190,106室,郑涵睿,正确,,
杭州市淳安县千岛湖镇环湖北路玉兰花园2幢9楼903室,nan,杭州市,淳安县,千岛湖镇,,环湖北路,,玉兰花园\N,,2幢,,9楼,\N903室,2,杭州市,23,淳安县,144,千岛湖镇,7,107293607,903室,8693848,环湖北路,65339101,玉兰花园,\N,\N,72710758,2幢,\N,\N,107293601,9楼,107293607,903室,郑涵睿,正确,,
杭州市淳安县临岐镇文浦路47号1单元101室,nan,杭州市,淳安县,临岐镇,,文浦路,47号,\N\N,,47号,,\N,101室\N\N,2,杭州市,23,淳安县,5146,临岐镇,4,7643188,47号1单元101室,7642953,文浦路,\N,\N,\N,\N,7643188,47号1单元101室,\N,\N,\N,\N,\N,\N,郑涵睿,错误,building_name回填错误，1单元消失，grade_10多出47号,算法待优化
杭州市淳安县千岛湖镇涌金路33-10号,nan,杭州市,淳安县,千岛湖镇,,涌金路,,\N,,\N,,\N, ,2,杭州市,23,淳安县,144,千岛湖镇,2,85689706,33-10号,39288295,涌金路,85689706,33-10号,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县姜家镇狮城路文渊狮城北大街2F48号,nan,杭州市,淳安县,姜家镇,,狮城路,48号,\N文渊狮城,,\N,,2F,北大街,2,杭州市,23,淳安县,136,姜家镇,7,76956885,48号,23519910,狮城路,\N,\N,76956833,文渊狮城,\N,\N,76956834,北大街,76956837,2F,76956885,48号,郑涵睿,错误,unit_name回填错误，应放在grade_6。door_name回填错误，48号应放在grade_13,算法待优化
杭州市淳安县千岛湖镇阳光路13幢1单元401室,nan,杭州市,淳安县,千岛湖镇,,阳光路,,\N\N,,13幢,1单元,\N,401室,2,杭州市,23,淳安县,144,千岛湖镇,7,22443208,401室,17063,阳光路,\N,\N,\N,\N,2359524,13幢,22443199,1单元,\N,\N,22443208,401室,郑涵睿,正确,,
杭州市淳安县汾口镇陆乡村58-2号,nan,杭州市,淳安县,汾口镇,陆乡村, ,,\N\N,,2号,,\N,58-\N\N,2,杭州市,23,淳安县,133,汾口镇,4,77269979,58-2号,8410465,陆乡村,\N,\N,\N,\N,77269979,58-2号,\N,\N,\N,\N,\N,\N,郑涵睿,错误,building_name回填错误，应放在grade_10,算法待优化
杭州市淳安县千岛湖镇新安西路13号3单元305,nan,杭州市,淳安县,千岛湖镇,,新安西路,,\N,,\N,3单元,\N,305,2,杭州市,23,淳安县,144,千岛湖镇,7,59379274,305,141150,新安西路,59300090,13号,\N,\N,\N,\N,59379271,3单元,\N,\N,59379274,305,郑涵睿,正确,,
杭州市淳安县千岛湖镇火炉尖社区人民路小区19号1层（正）,nan,杭州市,淳安县,千岛湖镇,火炉尖社区, ,,人民路小区 \N,,19号,,1层,\N（正）\N,2,杭州市,23,淳安县,144,千岛湖镇,6,122488888,1层（正）,2525867,火炉尖社区,121383487,人民路小区,\N,\N,121662029,19号,\N,\N,122488888,1层（正）,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇新北社区新安北路28幢1单元202室,nan,杭州市,淳安县,千岛湖镇,新北社区, 新安北路,, \N,,28幢,,\N,202室\N\N,2,杭州市,23,淳安县,144,千岛湖镇,4,9191603,28幢1单元202室,2521923,新北社区,2526159,新安北路,\N,\N,9191603,28幢1单元202室,\N,\N,\N,\N,\N,\N,郑涵睿,错误,building_name回填消失，1单元消失,算法待优化
杭州市淳安县威坪镇横石村横石自然村90-1号,nan,杭州市,淳安县,威坪镇,横石村, ,,横石自然村 \N,,1号,,\N,90-\N\N,2,杭州市,23,淳安县,148,威坪镇,4,101322857,90-1号,17611,横石村,101322307,横石自然村,\N,\N,101322857,90-1号,\N,\N,\N,\N,\N,\N,郑涵睿,错误,building_name回填错误,算法待优化
杭州市淳安县千岛湖镇鼓山社区坪家坞21号304室,nan,杭州市,淳安县,千岛湖镇,鼓山社区, ,,坪家坞\N,,21号,,\N,\N304室,2,杭州市,23,淳安县,144,千岛湖镇,7,36799301,304室,18931536,鼓山社区,36799081,坪家坞,\N,\N,36799208,21号,\N,\N,\N,\N,36799301,304室,郑涵睿,正确,,
杭州市淳安县千岛湖镇南景路星月湾小区6幢3单元2楼,nan,杭州市,淳安县,千岛湖镇,,南景路,,星月湾小区 \N,,6幢,3单元,2楼,\N,2,杭州市,23,淳安县,144,千岛湖镇,6,47332706,2楼,17483984,南景路,45300287,星月湾小区,\N,\N,47332592,6幢,47332700,3单元,47332706,2楼,\N,\N,郑涵睿,正确,,
杭州市淳安县文昌镇文昌村旅游学院学生宿舍6号楼D区3楼308室,nan,杭州市,淳安县,文昌镇,文昌村, ,,\N旅游学院,,,,3楼,D区学生宿舍\N308室,2,杭州市,23,淳安县,149,文昌镇,7,44788821,308室,20215,文昌村,\N,\N,44584831,旅游学院,44788832,学生宿舍6号楼D区,\N,\N,44788846,3楼,44788821,308室,郑涵睿,错误,building_name回填错误，学生宿舍应放在grade_8，D区应放在grade_9,算法待优化
杭州市淳安县千岛湖镇李家坞社区高志弄小区4幢2楼202号,nan,杭州市,淳安县,千岛湖镇,李家坞社区, ,,高志弄小区 \N,,4幢,,2楼,\N202号,2,杭州市,23,淳安县,144,千岛湖镇,7,54701830,202号,2522162,李家坞社区,3082281,高志弄小区,\N,\N,54537010,4幢,\N,\N,54701828,2楼,54701830,202号,郑涵睿,正确,,
杭州市淳安县千岛湖镇曙光路52号综合楼7F,nan,杭州市,淳安县,千岛湖镇,,曙光路,,\N,,综合楼,,7F, \N\N,2,杭州市,23,淳安县,144,千岛湖镇,6,80597556,7F,2201761,曙光路,76744077,52号,\N,\N,80597475,综合楼,\N,\N,80597556,7F,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇新安东路586号,nan,杭州市,淳安县,千岛湖镇,,新安东路,,\N,,\N,,\N, ,2,杭州市,23,淳安县,144,千岛湖镇,2,76858256,586号,17059,新安东路,76858256,586号,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县金峰乡蒋岭上村蒋岭上自然村10号,nan,杭州市,淳安县,金峰乡,蒋岭上村, ,,蒋岭上自然村 \N,,10号,,\N,\N\N,2,杭州市,23,淳安县,138,金峰乡,4,104615835,10号,20916,蒋岭上村,104612403,蒋岭上自然村,\N,\N,104615835,10号,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇新安南路柏润国际花园2幢10楼1001,nan,杭州市,淳安县,千岛湖镇,,新安南路,,\N柏润国际花园,,2幢,,10楼,\N1001,2,杭州市,23,淳安县,144,千岛湖镇,7,55362425,1001,2201565,新安南路,\N,\N,28918754,柏润国际花园,30563559,2幢,\N,\N,55362424,10楼,55362425,1001,郑涵睿,正确,,
杭州市淳安县威坪镇横塘村新胜自然村30号,nan,杭州市,淳安县,威坪镇,横塘村, ,,新胜自然村 \N,,30号,,\N,\N\N,2,杭州市,23,淳安县,148,威坪镇,4,77554297,30号,17659,横塘村,77550103,新胜自然村,\N,\N,77554297,30号,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇开发路南苑社区111幢2单元303室,nan,杭州市,淳安县,千岛湖镇,,开发路,,南苑社区\N,,111幢,2单元,\N,303室,2,杭州市,23,淳安县,144,千岛湖镇,7,5594197,303室,140600,开发路,70150681,南苑社区,\N,\N,5594081,111幢,5594159,2单元,\N,\N,5594197,303室,郑涵睿,正确,,
杭州市淳安县千岛湖镇睦州大道观岛5-8号,nan,杭州市,淳安县,千岛湖镇,,睦州大道,,观岛\N,,5-8号,,\N,\N\N,2,杭州市,23,淳安县,144,千岛湖镇,4,113578170,5-8号,40575632,睦州大道,43295633,观岛,\N,\N,113578170,5-8号,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇开发路4西10,nan,杭州市,淳安县,千岛湖镇,,开发路,,\N\N,,4,,10,西\N,2,杭州市,23,淳安县,144,千岛湖镇,6,19591871,10,140600,开发路,\N,\N,\N,\N,19591839,4,19591840,西,19591871,10,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇南景路里杉柏7幢3单元405室,nan,杭州市,淳安县,千岛湖镇,,南景路,,里杉柏\N,,7幢,3单元,\N,405室,2,杭州市,23,淳安县,144,千岛湖镇,7,22713332,405室,17483984,南景路,22713246,里杉柏,\N,\N,22713317,7幢,22713319,3单元,\N,\N,22713332,405室,郑涵睿,正确,,
杭州市淳安县界首乡严家村严家安置村严守仁,nan,杭州市,淳安县,界首乡,严家村, ,,\N严家安置村,,,,\N,\N\N严守仁,2,杭州市,23,淳安县,137,界首乡,7,91914498,严守仁,8438746,严家村,\N,\N,91756631,严家安置村,\N,\N,\N,\N,\N,\N,91914498,严守仁,郑涵睿,正确,,
杭州市淳安县千岛湖镇排岭北路63-12号,nan,杭州市,淳安县,千岛湖镇,,排岭北路,,\N,,\N,,\N, ,2,杭州市,23,淳安县,144,千岛湖镇,2,71288639,63-12号,17068,排岭北路,71288639,63-12号,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇开发路玫瑰园小区51幢1单元12楼,nan,杭州市,淳安县,千岛湖镇,,开发路,,玫瑰园小区 \N,,51幢,1单元,12楼,\N,2,杭州市,23,淳安县,144,千岛湖镇,6,50119447,12楼,140600,开发路,66273955,玫瑰园小区,\N,\N,50119366,51幢,50119367,1单元,50119447,12楼,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇李家坞社区高志弄18幢2单元301室,nan,杭州市,淳安县,千岛湖镇,李家坞社区, 高志弄,,\N,,18幢,,\N,301室\N\N,2,杭州市,23,淳安县,144,千岛湖镇,4,5530888,18幢2单元301室,2522162,李家坞社区,\N,\N,2525789,高志弄,5530888,18幢2单元301室,\N,\N,\N,\N,\N,\N,郑涵睿,错误,building_name回填消失，单元消失,算法待优化
杭州市淳安县千岛湖镇南苑社区南苑新村小区29幢1单元6楼,nan,杭州市,淳安县,千岛湖镇,南苑社区, ,,南苑新村小区 \N,,29幢,1单元,6楼,\N,2,杭州市,23,淳安县,144,千岛湖镇,6,67213095,6楼,2384829,南苑社区,2525875,南苑新村小区,\N,\N,67213057,29幢,67213058,1单元,67213095,6楼,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇明珠路254号商住楼2F,nan,杭州市,淳安县,千岛湖镇,,明珠路,,商住楼,,\N,,2F, ,2,杭州市,23,淳安县,144,千岛湖镇,6,76811172,2F,2201693,明珠路,76810319,254号,76811169,商住楼,\N,\N,\N,\N,76811172,2F,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇李家坞社区风暴巷1幢1单元602室,nan,杭州市,淳安县,千岛湖镇,李家坞社区, ,,\N风暴巷,,1幢,1单元,\N,602室,2,杭州市,23,淳安县,144,千岛湖镇,7,5598329,602室,2522162,李家坞社区,\N,\N,4111904,风暴巷,5597838,1幢,5597840,1单元,\N,\N,5598329,602室,郑涵睿,正确,,
杭州市淳安县千岛湖镇望湖社区新安东路251幢2单元404室,nan,杭州市,淳安县,千岛湖镇,望湖社区, 新安东路,, \N,,251幢,2单元,\N,404室,2,杭州市,23,淳安县,144,千岛湖镇,7,5578671,404室,2526157,望湖社区,4110540,新安东路,\N,\N,5578687,251幢,5578689,2单元,\N,\N,5578671,404室,郑涵睿,正确,,
杭州市淳安县汾口镇舒翠村41号,nan,杭州市,淳安县,汾口镇,舒翠村, ,,\N\N,,41号,,\N,\N\N,2,杭州市,23,淳安县,133,汾口镇,4,77258921,41号,17883,舒翠村,\N,\N,\N,\N,77258921,41号,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇睦州大道六合浅山4幢6楼604室（集团高价值）,nan,杭州市,淳安县,千岛湖镇,,睦州大道,,六合浅山\N,,4幢,,6楼,\N604室（集团高价值）,2,杭州市,23,淳安县,144,千岛湖镇,7,122941792,604室（集团高价值）,40575632,睦州大道,122941390,六合浅山,\N,\N,122941436,4幢,\N,\N,122941788,6楼,122941792,604室（集团高价值）,郑涵睿,正确,,
