,detailedaddress,prefecture_id,prefecture_name,county_id,county_name,township_id,township_name,addresslevel,id,name,road_id,road_name,village_id,village_name,block_id,block_name,building_id,building_name,unit_id,unit_name,floor_id,floor_name,door_id,door_name,p_day,p_city
962587,杭州市西湖区留下镇小和山社区小和山新苑新苑二区25# --- 32#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25378375,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445705,新苑二区,5445832,25# --- 32#,\N,\N,\N,\N,25378375,(CTT-高新),20220601.0,2.0
962588,杭州市西湖区留下镇小和山社区小和山新苑新苑六区29# --- 36#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25380644,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445736,新苑六区,5445975,29# --- 36#,\N,\N,\N,\N,25380644,(CTT-高新),20220601.0,2.0
962589,杭州市西湖区留下镇小和山社区小和山新苑新苑五区17# --- 20#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25378264,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445986,17# --- 20#,\N,\N,\N,\N,25378264,(CTT-高新),20220601.0,2.0
998282,杭州市西湖区古荡街道益乐社区一区24# --- 26#,2,杭州市,19,西湖区,264,古荡街道,4,2550695,一区24# --- 26#,88243,益乐社区,\N,\N,\N,\N,2550695,一区24# --- 26#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
998424,杭州市西湖区古荡街道益乐社区二区33# --- 35#,2,杭州市,19,西湖区,264,古荡街道,4,2550638,二区33# --- 35#,88243,益乐社区,\N,\N,\N,\N,2550638,二区33# --- 35#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1007413,杭州市西湖区古荡街道益乐社区二区44# --- 48#,2,杭州市,19,西湖区,264,古荡街道,4,2550605,二区44# --- 48#,88243,益乐社区,\N,\N,\N,\N,2550605,二区44# --- 48#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1007977,杭州市西湖区古荡街道益乐社区一区55# --- 60#,2,杭州市,19,西湖区,264,古荡街道,4,2550709,一区55# --- 60#,88243,益乐社区,\N,\N,\N,\N,2550709,一区55# --- 60#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1009531,杭州市西湖区古荡街道益乐社区二区15# --- 18#,2,杭州市,19,西湖区,264,古荡街道,4,2550615,二区15# --- 18#,88243,益乐社区,\N,\N,\N,\N,2550615,二区15# --- 18#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1011166,杭州市西湖区古荡街道益乐社区一区7# --- 12#,2,杭州市,19,西湖区,264,古荡街道,4,2550710,一区7# --- 12#,88243,益乐社区,\N,\N,\N,\N,2550710,一区7# --- 12#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1012137,杭州市西湖区留下镇小和山社区小和山新苑4区83# --- 98#,2,杭州市,19,西湖区,267,留下镇,4,61265161,83# --- 98#,2308970,小和山社区,5445672,小和山新苑,61265119,4区,61265161,83# --- 98#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1014929,杭州市西湖区古荡街道益乐社区二区49# --- 51#,2,杭州市,19,西湖区,264,古荡街道,4,2550606,二区49# --- 51#,88243,益乐社区,\N,\N,\N,\N,2550606,二区49# --- 51#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1018381,杭州市西湖区古荡街道益乐社区一区17# --- 19#,2,杭州市,19,西湖区,264,古荡街道,4,2550669,一区17# --- 19#,88243,益乐社区,\N,\N,\N,\N,2550669,一区17# --- 19#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1019552,杭州市西湖区古荡街道益乐社区二区22# --- 25#,2,杭州市,19,西湖区,264,古荡街道,4,2550628,二区22# --- 25#,88243,益乐社区,\N,\N,\N,\N,2550628,二区22# --- 25#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1019954,杭州市西湖区古荡街道益乐社区二区8# --- 11#,2,杭州市,19,西湖区,264,古荡街道,4,2550665,二区8# --- 11#,88243,益乐社区,\N,\N,\N,\N,2550665,二区8# --- 11#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1130967,杭州市西湖区留下镇小和山社区新苑四区31# --- 44#,2,杭州市,19,西湖区,267,留下镇,4,2314848,31# --- 44#,2308970,小和山社区,\N,\N,2311688,新苑四区,2314848,31# --- 44#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1130968,杭州市西湖区留下镇小和山社区新苑四区1# --- 8#,2,杭州市,19,西湖区,267,留下镇,4,2311834,1# --- 8#,2308970,小和山社区,\N,\N,2311688,新苑四区,2311834,1# --- 8#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1130969,杭州市西湖区留下镇小和山社区新苑四区71# --- 82#,2,杭州市,19,西湖区,267,留下镇,4,2311841,71# --- 82#,2308970,小和山社区,\N,\N,2311688,新苑四区,2311841,71# --- 82#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1130971,杭州市西湖区留下镇小和山社区新苑四区57# --- 70#,2,杭州市,19,西湖区,267,留下镇,4,2311693,57# --- 70#,2308970,小和山社区,\N,\N,2311688,新苑四区,2311693,57# --- 70#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1130972,杭州市西湖区留下镇小和山社区新苑四区9# --- 20#,2,杭州市,19,西湖区,267,留下镇,4,2311837,9# --- 20#,2308970,小和山社区,\N,\N,2311688,新苑四区,2311837,9# --- 20#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1130973,杭州市西湖区留下镇小和山社区新苑四区45# --- 56#,2,杭州市,19,西湖区,267,留下镇,4,2311689,45# --- 56#,2308970,小和山社区,\N,\N,2311688,新苑四区,2311689,45# --- 56#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1130974,杭州市西湖区留下镇小和山社区新苑四区83# --- 98#,2,杭州市,19,西湖区,267,留下镇,4,2311844,83# --- 98#,2308970,小和山社区,\N,\N,2311688,新苑四区,2311844,83# --- 98#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1134684,杭州市西湖区留下镇小和山社区小和山新苑新苑一区1# --- 10#,2,杭州市,19,西湖区,267,留下镇,4,5446226,1# --- 10#,2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,5446226,1# --- 10#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1134685,杭州市西湖区留下镇小和山社区小和山新苑新苑一区23# --- 32#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442610,23# --- 32#商铺,2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,21442610,23# --- 32#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1134686,杭州市西湖区留下镇小和山社区小和山新苑新苑一区33# --- 44#,2,杭州市,19,西湖区,267,留下镇,4,5445787,33# --- 44#,2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,5445787,33# --- 44#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1134687,杭州市西湖区留下镇小和山社区小和山新苑新苑一区23# --- 32#,2,杭州市,19,西湖区,267,留下镇,4,5445944,23# --- 32#,2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,5445944,23# --- 32#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1134688,杭州市西湖区留下镇小和山社区小和山新苑新苑一区11# --- 22#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442599,11# --- 22#商铺,2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,21442599,11# --- 22#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1134689,杭州市西湖区留下镇小和山社区小和山新苑新苑一区1# --- 10#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442591,1# --- 10#商铺,2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,21442591,1# --- 10#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1134690,杭州市西湖区留下镇小和山社区小和山新苑新苑一区33# --- 44#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442593,33# --- 44#商铺,2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,21442593,33# --- 44#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1134691,杭州市西湖区留下镇小和山社区小和山新苑新苑一区11# --- 22#,2,杭州市,19,西湖区,267,留下镇,4,5445778,11# --- 22#,2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,5445778,11# --- 22#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1137341,杭州市西湖区留下镇小和山社区小和山新苑六区9# --- 18#,2,杭州市,19,西湖区,267,留下镇,4,61258465,9# --- 18#,2308970,小和山社区,5445672,小和山新苑,61258464,六区,61258465,9# --- 18#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1161152,杭州市西湖区古荡街道益乐社区益乐南村小区一区34# --- 37#商铺（正）,2,杭州市,19,西湖区,264,古荡街道,7,44424924,（正）,88243,益乐社区,5387692,益乐南村小区,\N,\N,21452841,一区34# --- 37#商铺,\N,\N,\N,\N,44424924,（正）,20220601.0,2.0
1161187,杭州市西湖区留下镇小和山社区小和山新苑新苑四区31# --- 44#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423652,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445902,新苑四区,21442622,31# --- 44#商铺,\N,\N,\N,\N,25423652,（CTT-高新）,20220601.0,2.0
1161188,杭州市西湖区留下镇小和山社区小和山新苑新苑二区7# --- 14#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423648,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445705,新苑二区,21442611,7# --- 14#商铺,\N,\N,\N,\N,25423648,（CTT-高新）,20220601.0,2.0
1161189,杭州市西湖区留下镇小和山社区小和山新苑新苑三区1# --- 6#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423637,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445859,新苑三区,21442600,1# --- 6#商铺,\N,\N,\N,\N,25423637,（CTT-高新）,20220601.0,2.0
1161190,杭州市西湖区留下镇小和山社区小和山新苑新苑五区29# --- 32#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423574,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442589,29# --- 32#商铺,\N,\N,\N,\N,25423574,（CTT-高新）,20220601.0,2.0
1165137,杭州市西湖区留下镇小和山社区小和山新苑新苑三区39# --- 46#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25380585,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445859,新苑三区,5445872,39# --- 46#,\N,\N,\N,\N,25380585,(CTT-高新),20220601.0,2.0
1165138,杭州市西湖区留下镇小和山社区小和山新苑新苑四区71# --- 82#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25378325,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445902,新苑四区,5446147,71# --- 82#,\N,\N,\N,\N,25378325,(CTT-高新),20220601.0,2.0
1194005,杭州市西湖区留下镇小和山社区小和山新苑新苑六区19# --- 28#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25378379,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445736,新苑六区,5446058,19# --- 28#,\N,\N,\N,\N,25378379,(CTT-高新),20220601.0,2.0
1194006,杭州市西湖区留下镇小和山社区小和山新苑新苑五区41# --- 44#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25378331,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445992,41# --- 44#,\N,\N,\N,\N,25378331,(CTT-高新),20220601.0,2.0
1194007,杭州市西湖区留下镇小和山社区小和山新苑新苑五区25# --- 28#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25380637,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445909,25# --- 28#,\N,\N,\N,\N,25380637,(CTT-高新),20220601.0,2.0
1194008,杭州市西湖区留下镇小和山社区小和山新苑新苑五区11# --- 16#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25378258,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445750,11# --- 16#,\N,\N,\N,\N,25378258,(CTT-高新),20220601.0,2.0
1194009,杭州市西湖区留下镇小和山社区小和山新苑新苑五区1# --- 10#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25380591,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445695,1# --- 10#,\N,\N,\N,\N,25380591,(CTT-高新),20220601.0,2.0
1204937,杭州市西湖区古荡街道益乐社区益乐南村小区一区31# --- 33#商铺（正）,2,杭州市,19,西湖区,264,古荡街道,7,44424922,（正）,88243,益乐社区,5387692,益乐南村小区,\N,\N,21452840,一区31# --- 33#商铺,\N,\N,\N,\N,44424922,（正）,20220601.0,2.0
1204993,杭州市西湖区留下镇小和山社区小和山新苑新苑三区39# --- 46#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423635,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445859,新苑三区,21442621,39# --- 46#商铺,\N,\N,\N,\N,25423635,（CTT-高新）,20220601.0,2.0
1204994,杭州市西湖区留下镇小和山社区小和山新苑新苑一区23# --- 32#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423647,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,21442610,23# --- 32#商铺,\N,\N,\N,\N,25423647,（CTT-高新）,20220601.0,2.0
1204995,杭州市西湖区留下镇小和山社区小和山新苑新苑一区11# --- 22#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423636,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,21442599,11# --- 22#商铺,\N,\N,\N,\N,25423636,（CTT-高新）,20220601.0,2.0
1204996,杭州市西湖区留下镇小和山社区小和山新苑新苑五区21# --- 24#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423572,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442588,21# --- 24#商铺,\N,\N,\N,\N,25423572,（CTT-高新）,20220601.0,2.0
1229048,杭州市西湖区留下镇小和山社区小和山新苑新苑五区45# --- 48#,2,杭州市,19,西湖区,267,留下镇,4,5446021,45# --- 48#,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5446021,45# --- 48#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229049,杭州市西湖区留下镇小和山社区小和山新苑新苑五区25# --- 28#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442608,25# --- 28#商铺,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442608,25# --- 28#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229050,杭州市西湖区留下镇小和山社区小和山新苑新苑五区17# --- 20#,2,杭州市,19,西湖区,267,留下镇,4,5445986,17# --- 20#,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445986,17# --- 20#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229051,杭州市西湖区留下镇小和山社区小和山新苑新苑五区21# --- 24#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442588,21# --- 24#商铺,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442588,21# --- 24#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229052,杭州市西湖区留下镇小和山社区小和山新苑新苑五区37# --- 40#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442609,37# --- 40#商铺,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442609,37# --- 40#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229053,杭州市西湖区留下镇小和山社区小和山新苑新苑五区29# --- 32#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442589,29# --- 32#商铺,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442589,29# --- 32#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229054,杭州市西湖区留下镇小和山社区小和山新苑新苑五区45# --- 48#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442618,45# --- 48#商铺,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442618,45# --- 48#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229055,杭州市西湖区留下镇小和山社区小和山新苑新苑五区21# --- 24#,2,杭州市,19,西湖区,267,留下镇,4,5446186,21# --- 24#,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5446186,21# --- 24#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229056,杭州市西湖区留下镇小和山社区小和山新苑新苑五区33# --- 36#,2,杭州市,19,西湖区,267,留下镇,4,5446219,33# --- 36#,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5446219,33# --- 36#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229057,杭州市西湖区留下镇小和山社区小和山新苑新苑五区41# --- 44#,2,杭州市,19,西湖区,267,留下镇,4,5445992,41# --- 44#,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445992,41# --- 44#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229058,杭州市西湖区留下镇小和山社区小和山新苑新苑五区33# --- 36#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442590,33# --- 36#商铺,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442590,33# --- 36#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229059,杭州市西湖区留下镇小和山社区小和山新苑新苑五区25# --- 28#,2,杭州市,19,西湖区,267,留下镇,4,5445909,25# --- 28#,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445909,25# --- 28#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229060,杭州市西湖区留下镇小和山社区小和山新苑新苑五区17# --- 20#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442598,17# --- 20#商铺,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442598,17# --- 20#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229061,杭州市西湖区留下镇小和山社区小和山新苑新苑五区11# --- 16#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442597,11# --- 16#商铺,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442597,11# --- 16#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229062,杭州市西湖区留下镇小和山社区小和山新苑新苑五区29# --- 32#,2,杭州市,19,西湖区,267,留下镇,4,5446191,29# --- 32#,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5446191,29# --- 32#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229063,杭州市西湖区留下镇小和山社区小和山新苑新苑五区11# --- 16#,2,杭州市,19,西湖区,267,留下镇,4,5445750,11# --- 16#,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445750,11# --- 16#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229064,杭州市西湖区留下镇小和山社区小和山新苑新苑五区1# --- 10#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442623,1# --- 10#商铺,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442623,1# --- 10#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229065,杭州市西湖区留下镇小和山社区小和山新苑新苑五区41# --- 44#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442592,41# --- 44#商铺,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442592,41# --- 44#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229066,杭州市西湖区留下镇小和山社区小和山新苑新苑五区1# --- 10#,2,杭州市,19,西湖区,267,留下镇,4,5445695,1# --- 10#,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445695,1# --- 10#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1229067,杭州市西湖区留下镇小和山社区小和山新苑新苑五区37# --- 40#,2,杭州市,19,西湖区,267,留下镇,4,5445914,37# --- 40#,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,5445914,37# --- 40#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1236324,杭州市西湖区古荡街道益乐社区二区36# --- 39#,2,杭州市,19,西湖区,264,古荡街道,4,2550603,二区36# --- 39#,88243,益乐社区,\N,\N,\N,\N,2550603,二区36# --- 39#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1236450,杭州市西湖区古荡街道益乐社区二区1# --- 4#,2,杭州市,19,西湖区,264,古荡街道,4,2550592,二区1# --- 4#,88243,益乐社区,\N,\N,\N,\N,2550592,二区1# --- 4#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1236689,杭州市西湖区古荡街道益乐社区一区41# --- 44#,2,杭州市,19,西湖区,264,古荡街道,4,2550705,一区41# --- 44#,88243,益乐社区,\N,\N,\N,\N,2550705,一区41# --- 44#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1237746,杭州市西湖区古荡街道益乐社区一区38# --- 40#,2,杭州市,19,西湖区,264,古荡街道,4,2550704,一区38# --- 40#,88243,益乐社区,\N,\N,\N,\N,2550704,一区38# --- 40#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1238100,杭州市西湖区古荡街道益乐社区一区45# --- 47#,2,杭州市,19,西湖区,264,古荡街道,4,2550706,一区45# --- 47#,88243,益乐社区,\N,\N,\N,\N,2550706,一区45# --- 47#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1242438,杭州市西湖区古荡街道益乐社区二区26# --- 28#,2,杭州市,19,西湖区,264,古荡街道,4,2550632,二区26# --- 28#,88243,益乐社区,\N,\N,\N,\N,2550632,二区26# --- 28#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1243173,杭州市西湖区古荡街道益乐社区一区1# --- 6#,2,杭州市,19,西湖区,264,古荡街道,4,2550667,一区1# --- 6#,88243,益乐社区,\N,\N,\N,\N,2550667,一区1# --- 6#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1244340,杭州市西湖区古荡街道益乐社区一区48# --- 51#,2,杭州市,19,西湖区,264,古荡街道,4,2550707,一区48# --- 51#,88243,益乐社区,\N,\N,\N,\N,2550707,一区48# --- 51#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1249086,杭州市西湖区留下镇小和山社区小和山新苑新苑四区83# --- 98#,2,杭州市,19,西湖区,267,留下镇,4,5446176,83# --- 98#,2308970,小和山社区,5445672,小和山新苑,5445902,新苑四区,5446176,83# --- 98#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1249087,杭州市西湖区留下镇小和山社区小和山新苑新苑四区31# --- 44#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442622,31# --- 44#商铺,2308970,小和山社区,5445672,小和山新苑,5445902,新苑四区,21442622,31# --- 44#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1249088,杭州市西湖区留下镇小和山社区小和山新苑新苑四区45# --- 56#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442595,45# --- 56#商铺,2308970,小和山社区,5445672,小和山新苑,5445902,新苑四区,21442595,45# --- 56#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1249089,杭州市西湖区留下镇小和山社区小和山新苑新苑四区1# --- 8#,2,杭州市,19,西湖区,267,留下镇,4,5446111,1# --- 8#,2308970,小和山社区,5445672,小和山新苑,5445902,新苑四区,5446111,1# --- 8#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1249090,杭州市西湖区留下镇小和山社区小和山新苑新苑四区9# --- 20#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442604,9# --- 20#商铺,2308970,小和山社区,5445672,小和山新苑,5445902,新苑四区,21442604,9# --- 20#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
1249091,杭州市西湖区留下镇小和山社区小和山新苑新苑四区57# --- 70#商铺,2,杭州市,19,西湖区,267,留下镇,4,21442596,57# --- 70#商铺,2308970,小和山社区,5445672,小和山新苑,5445902,新苑四区,21442596,57# --- 70#商铺,\N,\N,\N,\N,\N,\N,20220601.0,2.0
