,吉利车型,低配价格,高配价格,其它车型,其它车型低配价格,其它车型高配价格
78,星越新能源,15.58,19.68,东风本田-本田CR-V 2021款,15.78,28.1
79,嘉际新能源,15.18,17.48,上汽大众-途安 2021款,11.38,19.4
80,嘉际新能源,15.18,17.48,比亚迪-宋MAX新能源 2022款,14.58,17.2
81,嘉际新能源,15.18,17.48,上汽通用五菱-五菱佳辰 2022款,8.18,10.5
82,嘉际新能源,15.18,17.48,广汽乘用车-传祺M6 2021款,10.18,15.9
83,嘉际新能源,15.18,17.48,上汽通用五菱-五菱凯捷 2022款,7.88,15.0
84,博瑞新能源,15.58,16.98,长安林肯-林肯Z 2022款,19.98,39.9
85,博瑞新能源,15.58,16.98,长安福特-蒙迪欧 2022款,15.28,21.9
86,博瑞新能源,15.58,16.98,广汽本田-雅阁 2022款,16.88,25.3
87,博瑞新能源,15.58,16.98,北京奔驰-奔驰C级 2022款,27.00,38.0
88,博瑞新能源,15.58,16.98,一汽-大众奥迪-奥迪A4L 2022款,25.00,34.2
89,帝豪GL新能源,16.88,16.88,长安福特-福克斯 2022款,8.79,15.8
90,帝豪GL新能源,16.88,16.88,东风日产-轩逸 2022款,8.00,17.8
91,帝豪GL新能源,16.88,16.88,一汽-大众-速腾 2023款,11.60,17.2
92,帝豪GL新能源,16.88,16.88,上汽大众-朗逸 2023款,6.69,16.5
93,帝豪GL新能源,16.88,16.88,一汽-大众-宝来 2021款,7.30,13.9
