购车APP,吉利车型,一级,二级,三级,低配价格,高配价格,吉利价格段,竞品品牌,集团,其它车型,一级,二级,三级,其它车型低配价格,其它车型高配价格,其它车型价格段,差价,是否顺差,价格段是否相同
懂车帝,缤瑞,206c1dd782aa442aa8c47a90f16ed932,9125fbf12f1de7a3fe03d9a1c7857412,9125fbf12f1de7a3fe03d9a1c7857412,7.98,10.98,5-10,长安汽车,长安,逸动,,,,7.29,10.39,5-10,0.69,0,1
懂车帝,缤瑞,206c1dd782aa442aa8c47a90f16ed932,9125fbf12f1de7a3fe03d9a1c7857412,9125fbf12f1de7a3fe03d9a1c7857412,7.98,10.98,5-10,上汽集团,上汽,荣威i5,,,,6.79,9.99,5-10,1.19,1,1
懂车帝,缤瑞,206c1dd782aa442aa8c47a90f16ed932,9125fbf12f1de7a3fe03d9a1c7857412,9125fbf12f1de7a3fe03d9a1c7857412,7.98,10.98,5-10,奇瑞汽车,奇瑞,艾瑞泽GX,,,,8.59,12.98,5-10,-0.61,0,1
懂车帝,缤瑞,206c1dd782aa442aa8c47a90f16ed932,9125fbf12f1de7a3fe03d9a1c7857412,9125fbf12f1de7a3fe03d9a1c7857412,7.98,10.98,5-10,上汽通用雪佛兰,上汽,科沃兹,,,,8.39,9.99,5-10,-0.41,0,1
懂车帝,豪越,206c1dd782aa442aa8c47a90f16ed932,06bdb2d5a56fc66b44c98181ac66b458,06bdb2d5a56fc66b44c98181ac66b458,10.36,14.26,10-15,长安汽车,长安,长安CS75 PLUS,,,,11.79,15.49,10-15,-1.43,0,1
懂车帝,豪越,206c1dd782aa442aa8c47a90f16ed932,06bdb2d5a56fc66b44c98181ac66b458,06bdb2d5a56fc66b44c98181ac66b458,10.36,14.26,10-15,长安汽车,长安,长安UNI-T,,,,11.59,14.99,10-15,-1.23,0,1
懂车帝,豪越,206c1dd782aa442aa8c47a90f16ed932,06bdb2d5a56fc66b44c98181ac66b458,06bdb2d5a56fc66b44c98181ac66b458,10.36,14.26,10-15,长城汽车,长城,哈弗大狗,,,,11.99,16.79,10-15,-1.63,0,1
懂车帝,远景X3,206c1dd782aa442aa8c47a90f16ed932,518be2d04dcc4c3ee0fa8847c4e6c29a,518be2d04dcc4c3ee0fa8847c4e6c29a,4.99,6.89,1-5,上汽通用,上汽,宝骏510,,,,5.38,8.08,5-10,-0.39,0,0
懂车帝,远景X3,206c1dd782aa442aa8c47a90f16ed932,518be2d04dcc4c3ee0fa8847c4e6c29a,518be2d04dcc4c3ee0fa8847c4e6c29a,4.99,6.89,1-5,奇瑞汽车,奇瑞,瑞虎3x,,,,4.99,6.99,1-5,0,0,1
懂车帝,远景X3,206c1dd782aa442aa8c47a90f16ed932,518be2d04dcc4c3ee0fa8847c4e6c29a,518be2d04dcc4c3ee0fa8847c4e6c29a,4.99,6.89,1-5,长安汽车,长安,长安CS15,,,,6.19,7.69,5-10,-1.2,0,0
懂车帝,远景X3,206c1dd782aa442aa8c47a90f16ed932,518be2d04dcc4c3ee0fa8847c4e6c29a,518be2d04dcc4c3ee0fa8847c4e6c29a,4.99,6.89,1-5,东风,东风,东风EV新能源EX1,,,,4.57,5.97,1-5,0.42,0,1
懂车帝,远景X6,206c1dd782aa442aa8c47a90f16ed932,cf823f5d1476d6d0b5b102e8a9dbfe85,cf823f5d1476d6d0b5b102e8a9dbfe85,7.59,8.99,5-10,长城汽车,长城,哈弗M6,,,,7.19,9.29,5-10,0.4,0,1
懂车帝,远景X6,206c1dd782aa442aa8c47a90f16ed932,cf823f5d1476d6d0b5b102e8a9dbfe85,cf823f5d1476d6d0b5b102e8a9dbfe85,7.59,8.99,5-10,长安汽车,长安,长安CS35 PLUS,,,,6.99,10.99,5-10,0.6,0,1
懂车帝,远景X6,206c1dd782aa442aa8c47a90f16ed932,cf823f5d1476d6d0b5b102e8a9dbfe85,cf823f5d1476d6d0b5b102e8a9dbfe85,7.59,8.99,5-10,奇瑞汽车,奇瑞,瑞虎5x,,,,6.99,10.19,5-10,0.6,0,1
懂车帝,远景X6,206c1dd782aa442aa8c47a90f16ed932,cf823f5d1476d6d0b5b102e8a9dbfe85,cf823f5d1476d6d0b5b102e8a9dbfe85,7.59,8.99,5-10,上汽通用,上汽,宝骏530,,,,7.08,9.98,5-10,0.51,0,1
懂车帝,吉利ICON,206c1dd782aa442aa8c47a90f16ed932,eb58bf97593eb1a44feebd01bbc29775,eb58bf97593eb1a44feebd01bbc29775,9.98,13.2,5-10,长城汽车,长城,哈弗H6,,,,9.89,15.7,5-10,0.09,0,1
懂车帝,吉利ICON,206c1dd782aa442aa8c47a90f16ed932,eb58bf97593eb1a44feebd01bbc29775,eb58bf97593eb1a44feebd01bbc29775,9.98,13.2,5-10,长安汽车,长安,长安CS75 PLUS,,,,11.79,15.49,10-15,-1.81,0,0
懂车帝,吉利ICON,206c1dd782aa442aa8c47a90f16ed932,eb58bf97593eb1a44feebd01bbc29775,eb58bf97593eb1a44feebd01bbc29775,9.98,13.2,5-10,长安汽车,长安,长安UNI-T,,,,11.59,14.99,10-15,-1.61,0,0
懂车帝,吉利ICON,206c1dd782aa442aa8c47a90f16ed932,eb58bf97593eb1a44feebd01bbc29775,eb58bf97593eb1a44feebd01bbc29775,9.98,13.2,5-10,长安汽车,长安,长安CS55 PLUS,,,,9.29,12.19,5-10,0.69,0,1
懂车帝,帝豪S,206c1dd782aa442aa8c47a90f16ed932,2143a3937603ae9759702c9b8f91f9e4,2143a3937603ae9759702c9b8f91f9e4,8.49,10.89,5-10,上汽通用,上汽,宝骏530,,,,7.08,9.98,5-10,1.41,1,1
懂车帝,帝豪S,206c1dd782aa442aa8c47a90f16ed932,2143a3937603ae9759702c9b8f91f9e4,2143a3937603ae9759702c9b8f91f9e4,8.49,10.89,5-10,奇瑞汽车,奇瑞,瑞虎7,,,,8.39,11.89,5-10,0.1,0,1
懂车帝,帝豪S,206c1dd782aa442aa8c47a90f16ed932,2143a3937603ae9759702c9b8f91f9e4,2143a3937603ae9759702c9b8f91f9e4,8.49,10.89,5-10,上汽通用,上汽,宝骏RS-3,,,,6.38,9.88,5-10,2.11,1,1
懂车帝,帝豪S,206c1dd782aa442aa8c47a90f16ed932,2143a3937603ae9759702c9b8f91f9e4,2143a3937603ae9759702c9b8f91f9e4,8.49,10.89,5-10,长城汽车,长城,哈弗初恋,,,,7.89,11.29,5-10,0.6,0,1
懂车帝,帝豪L 雷神Hi·X,206c1dd782aa442aa8c47a90f16ed932,9d4c08491662991b468d78bfe7991925,9d4c08491662991b468d78bfe7991925,12.98,14.58,10-15,比亚迪,比亚,秦PLUS DM-i,,,,11.18,16.58,10-15,1.8,1,1
懂车帝,帝豪L,206c1dd782aa442aa8c47a90f16ed932,9d4c08491662991b468d78bfe7991925,9d4c08491662991b468d78bfe7991925,9.39,10.99,5-10,广汽乘用车,广汽,影豹,,,,9.83,13.68,5-10,-0.44,0,1
懂车帝,帝豪L,206c1dd782aa442aa8c47a90f16ed932,9d4c08491662991b468d78bfe7991925,9d4c08491662991b468d78bfe7991925,9.39,10.99,5-10,东风乘用车,东风,奕炫MAX,,,,9.39,13.79,5-10,0,0,1
懂车帝,帝豪L,206c1dd782aa442aa8c47a90f16ed932,9d4c08491662991b468d78bfe7991925,9d4c08491662991b468d78bfe7991925,9.39,10.99,5-10,长安汽车,长安,锐程CC,,,,9.79,11.29,5-10,-0.4,0,1
懂车帝,博瑞,206c1dd782aa442aa8c47a90f16ed932,15540b28144163c8285da7d052aebd90,15540b28144163c8285da7d052aebd90,13.18,14.38,10-15,一汽红旗,一汽,红旗H5,,,,14.58,19.08,10-15,-1.4,0,1
懂车帝,博瑞,206c1dd782aa442aa8c47a90f16ed932,15540b28144163c8285da7d052aebd90,15540b28144163c8285da7d052aebd90,13.18,14.38,10-15,北京现代,北京,名图,,,,13.38,16.88,10-15,-0.2,0,1
懂车帝,博瑞,206c1dd782aa442aa8c47a90f16ed932,15540b28144163c8285da7d052aebd90,15540b28144163c8285da7d052aebd90,13.18,14.38,10-15,一汽-大众,一汽,速腾,,,,12.79,17.29,10-15,0.39,0,1
懂车帝,博瑞,206c1dd782aa442aa8c47a90f16ed932,15540b28144163c8285da7d052aebd90,15540b28144163c8285da7d052aebd90,13.18,14.38,10-15,丰田,丰田,卡罗拉,,,,10.98,15.98,10-15,2.2,1,1
懂车帝,缤越新能源,206c1dd782aa442aa8c47a90f16ed932,985525a3c5e4e0650af26a045971bc2f,985525a3c5e4e0650af26a045971bc2f,11.98,13.58,10-15,东风本田,东风,本田XR-V,,,,12.79,17.59,10-15,-0.81,0,1
懂车帝,缤越新能源,206c1dd782aa442aa8c47a90f16ed932,985525a3c5e4e0650af26a045971bc2f,985525a3c5e4e0650af26a045971bc2f,11.98,13.58,10-15,领克,领克,领克06,,,,11.86,13.98,10-15,0.12,0,1
懂车帝,缤越新能源,206c1dd782aa442aa8c47a90f16ed932,985525a3c5e4e0650af26a045971bc2f,985525a3c5e4e0650af26a045971bc2f,11.98,13.58,10-15,广汽本田,广汽,缤智,,,,12.78,17.68,10-15,-0.8,0,1
懂车帝,缤越新能源,206c1dd782aa442aa8c47a90f16ed932,985525a3c5e4e0650af26a045971bc2f,985525a3c5e4e0650af26a045971bc2f,11.98,13.58,10-15,一汽丰田,一汽,奕泽IZOA,,,,14.58,18.98,10-15,-2.6,0,1
懂车帝,星越S,206c1dd782aa442aa8c47a90f16ed932,5e3ca6204272d09460db80f9e9773db5,5e3ca6204272d09460db80f9e9773db5,13.57,17.17,10-15,广汽乘用车,广汽,传祺GS4 Coupe,,,,13.68,14.68,10-15,-0.11,0,1
懂车帝,星越S,206c1dd782aa442aa8c47a90f16ed932,5e3ca6204272d09460db80f9e9773db5,5e3ca6204272d09460db80f9e9773db5,13.57,17.17,10-15,长安汽车,长安,长安CS85 COUPE,,,,11.99,16.49,10-15,1.58,1,1
懂车帝,星越S,206c1dd782aa442aa8c47a90f16ed932,5e3ca6204272d09460db80f9e9773db5,5e3ca6204272d09460db80f9e9773db5,13.57,17.17,10-15,长城汽车,长城,哈弗神兽,,,,13,16.7,10-15,0.57,0,1
懂车帝,帝豪新能源,206c1dd782aa442aa8c47a90f16ed932,bef000009864b4112368,bef000009864b4112368,13.58,16.18,10-15,上汽集团,上汽,名爵6 PHEV,,,,14.58,19.98,10-15,-1,0,1
懂车帝,帝豪新能源,206c1dd782aa442aa8c47a90f16ed932,bef000009864b4112368,bef000009864b4112368,13.58,16.18,10-15,比亚迪,比亚,秦Pro DM,,,,13.69,20.49,10-15,-0.11,0,1
懂车帝,帝豪新能源,206c1dd782aa442aa8c47a90f16ed932,bef000009864b4112368,bef000009864b4112368,13.58,16.18,10-15,大众,大众,大众ID.3,,,,14.9888,18.2288,10-15,-1.4088,0,1
懂车帝,星越新能源,206c1dd782aa442aa8c47a90f16ed932,af2fab6466bd9e4bd2d83cadcfa87984,af2fab6466bd9e4bd2d83cadcfa87984,15.58,19.68,15-20,领克,领克,领克01 PHEV,,,,19.97,22.67,15-20,-4.39,0,1
懂车帝,星越新能源,206c1dd782aa442aa8c47a90f16ed932,af2fab6466bd9e4bd2d83cadcfa87984,af2fab6466bd9e4bd2d83cadcfa87984,15.58,19.68,15-20,广汽乘用车,广汽,传祺GS4 PHEV,,,,16.38,19.38,15-20,-0.8,0,1
懂车帝,星越新能源,206c1dd782aa442aa8c47a90f16ed932,af2fab6466bd9e4bd2d83cadcfa87984,af2fab6466bd9e4bd2d83cadcfa87984,15.58,19.68,15-20,长城汽车,长城,玛奇朵DHT-PHEV,,,,17.88,18.98,15-20,-2.3,0,1
懂车帝,嘉际新能源,206c1dd782aa442aa8c47a90f16ed932,ed2f8ad01d21e9717a6bc3b0d53fada6,ed2f8ad01d21e9717a6bc3b0d53fada6,15.18,17.48,15-20,上汽,上汽,上汽大通MAXUS EUNIQ 5,,,,17.68,21.28,15-20,-2.5,0,1
懂车帝,博瑞新能源,206c1dd782aa442aa8c47a90f16ed932,f927b4ef4bfed5741b9d03e55408f95f,f927b4ef4bfed5741b9d03e55408f95f,15.58,16.98,15-20,威马汽车,威马,威马E.5,,,,16.01,19.01,15-20,-0.43,0,1
汽车之家,星越L,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChxkrmDxNKWALy9BACMXou_Y18k777,ChwFj2IdbveATP-xAB6voGWKJdk165,13.72,18.52,10-15,比亚迪,比亚,宋PLUS新能源,Chxkm2Hem-6AJbRTAAALAAXnCgc902,ChwEmWBXHCGAThNWABDYlyVG4jk321,ChsFWV_-Wp6AD31UACNmF9GXCWs970,10.55,21.6,10-15,3.17,1,1
汽车之家,星越L,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChxkrmDxNKWALy9BACMXou_Y18k777,ChwFj2IdbveATP-xAB6voGWKJdk165,13.72,18.52,10-15,东风本田,东风,本田CR-V,ChsEwGDymG6ATewSAAAMXREb5AQ823,ChsEmF8EOK-Aa1_hAAi6_ZwI4QE965,ChwFkl7-kumASpzMAAipwHV8WSM488,15.78,28.1,15-20,-2.06,0,0
汽车之家,帝豪,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFjmCznqCAIsxZACHgAJwtbLw029,ChxkmWK9Em6AK3jBAA9ORFt5puI448,6.28,12.98,5-10,东风日产,东风,轩逸,ChsEzWDylM6AejvfAABHS68N4Ic340,ChwEmGFDav2AZRSRABceY1iEJPM868,ChxkjmF_9PGAWS5CACNppiFIfng918,8,17.8,5-10,-1.72,0,1
汽车之家,帝豪,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFjmCznqCAIsxZACHgAJwtbLw029,ChxkmWK9Em6AK3jBAA9ORFt5puI448,6.28,12.98,5-10,奇瑞汽车,奇瑞,艾瑞泽5 PLUS,wKgHJFs9s2qAawQfAAAnXgLikoM954,ChsEeV-2a0SANXeKACnB8KXZnN4012,ChxkmmGWUO-Aeeq0AC_4IzoJWOE883,6.2,9.9,5-10,0.08,0,1
汽车之家,帝豪,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFjmCznqCAIsxZACHgAJwtbLw029,ChxkmWK9Em6AK3jBAA9ORFt5puI448,6.28,12.98,5-10,上汽集团,上汽,荣威i5,ChxkmWLXzhSAW9cDAAArjdjgiRw979,ChsEdmBxHseADi9wABBLMi6-A9s200,ChwEmGCKeeuAYUb_ADD9mFBpGn4820,5.99,9.9,5-10,0.29,0,1
汽车之家,帝豪,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFjmCznqCAIsxZACHgAJwtbLw029,ChxkmWK9Em6AK3jBAA9ORFt5puI448,6.28,12.98,5-10,一汽,一汽,大众-宝来,ChsEeV26zOKAATwCAAAMlhPv54M195,ChxkqWKITYyAdpDcAArQxJVOvo8351,ChtliGKWu42AcIiqAArQxJVOvo8804,7.3,13.9,5-10,-1.02,0,1
汽车之家,博越,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwElmEq7ICAZr_hADY7TJilGq0561,ChtliGLJL_aAdioUABhimvwEva4980,9.18,14.28,5-10,长城汽车,长城,哈弗H6,ChwEl2D07IOARsLxAAAV_tLtRsA356,ChwEl2EyDpmANo9qABH8ZtFgqUY709,ChwEmWBQReaAFeRBADf9LzYYP2o918,8.4,15.7,5-10,0.78,0,1
汽车之家,博越,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwElmEq7ICAZr_hADY7TJilGq0561,ChtliGLJL_aAdioUABhimvwEva4980,9.18,14.28,5-10,长安汽车,长安,长安CS75 PLUS,ChwFkl9y_JqAVybMAAAUINDQ2uo180,ChxkqWIXWFqAQMK-ABRGYjV3L70092,ChxknGIXOzeABwsOACdRtonkgKM507,10.06,15.4,10-15,-0.88,0,0
汽车之家,博越,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwElmEq7ICAZr_hADY7TJilGq0561,ChtliGLJL_aAdioUABhimvwEva4980,9.18,14.28,5-10,上汽集团,上汽,荣威RX5,ChxkmWLXzhSAW9cDAAArjdjgiRw979,ChtliGJotVaAMC7FAFA7835yqaQ177,ChwFkWGm4buAMLHGACQ_3HIAxUE924,8.48,14.7,5-10,0.7,0,1
汽车之家,星瑞,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChxkmmLVG9WAFCAkACaOBzr5QQA494,ChtliGJ7MP6AHgYVACFpGtw7pEM506,11.37,15.27,10-15,东风本田,东风,思域,ChsEwGDymG6ATewSAAAMXREb5AQ823,ChxkkGE3Tt-AbVtBAB3qt5lQCQI725,Chxks2FRlaKAO0QqABLQsolnhQE885,10.9,17,10-15,0.47,0,1
汽车之家,星瑞,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChxkmmLVG9WAFCAkACaOBzr5QQA494,ChtliGJ7MP6AHgYVACFpGtw7pEM506,11.37,15.27,10-15,领克,领克,领克03,wKgHFFs8hfSAeEAlAAAJSAX0EFA163,ChwFSGDq-ySAHnikABw5LGDlJsA436,ChsE12E9jVuAPlrtADRGLRcTb-w167,12.38,25.6,10-15,-1.01,0,1
汽车之家,星瑞,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChxkmmLVG9WAFCAkACaOBzr5QQA494,ChtliGJ7MP6AHgYVACFpGtw7pEM506,11.37,15.27,10-15,长安汽车,长安,长安UNI-V,ChwFkl9y_JqAVybMAAAUINDQ2uo180,ChxkmWKoEJ6AAS4uABrGkX7Xdrs758,ChsEdmKgrPCAUATZABuTzU4xHM4804,10.15,13.3,10-15,1.22,1,1
汽车之家,缤越,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChxknGLWn52AM94hACVZW93Lmbk354,ChwFkmLXbLyALxQtAA262e1vcNk235,7.58,11.98,5-10,长安汽车,长安,长安欧尚X5,ChwFkl9y_JqAVybMAAAUINDQ2uo180,ChwFkWG0iJOAFYtkAAvui_vsSUk612,ChwFkWGefNqAVLmzACPPbSlxuP8585,6.99,11.6,5-10,0.59,0,1
汽车之家,缤越,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChxknGLWn52AM94hACVZW93Lmbk354,ChwFkmLXbLyALxQtAA262e1vcNk235,7.58,11.98,5-10,广汽乘用车,广汽,传祺GS3,ChwFkF8iU5mAIjDrAAAvz7uHK8k454,ChwFj2J7zSSAULXfACH5m06yUcE318,ChwFlGJORp2Ae97bADLcb6uJxo0388,8,10.8,5-10,-0.42,0,1
汽车之家,缤越,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChxknGLWn52AM94hACVZW93Lmbk354,ChwFkmLXbLyALxQtAA262e1vcNk235,7.58,11.98,5-10,长安汽车,长安,长安CS55PLUS,ChwFkl9y_JqAVybMAAAUINDQ2uo180,ChxkmWKVmNaAd21RAA7YqnRt9Wo622,ChwFkGF35oaAYqxDADTWioz5CYU282,8.6,12.1,5-10,-1.02,0,1
汽车之家,缤越,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChxknGLWn52AM94hACVZW93Lmbk354,ChwFkmLXbLyALxQtAA262e1vcNk235,7.58,11.98,5-10,广汽本田,广汽,缤智,ChsEwGDymG6ATewSAAAMXREb5AQ823,Chxkm2HzY9uAXflFABBgjJnVk-E587,ChwFlV-Pq1WAcl4rACDB9j24L8A760,9.88,15.9,5-10,-2.3,0,1
汽车之家,缤瑞,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFlGIyj0WAQIqIACFgxfVihvQ669,ChxkqWJ7KJSAJhbMABINFdlO94A947,7.98,10.98,5-10,东风日产,东风,轩逸,ChsEzWDylM6AejvfAABHS68N4Ic340,ChwEmGFDav2AZRSRABceY1iEJPM868,ChxkjmF_9PGAWS5CACNppiFIfng918,8,17.8,5-10,-0.02,0,1
汽车之家,缤瑞,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFlGIyj0WAQIqIACFgxfVihvQ669,ChxkqWJ7KJSAJhbMABINFdlO94A947,7.98,10.98,5-10,广汽乘用车,广汽,影豹,ChwFkF8iU5mAIjDrAAAvz7uHK8k454,Chtk3WCZEhuAQzOnABIEzmzLuPg109,ChsFWWKOQXaAPwinACzlVAS2Hs8666,10.8,13.8,10-15,-2.82,0,0
汽车之家,缤瑞,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFlGIyj0WAQIqIACFgxfVihvQ669,ChxkqWJ7KJSAJhbMABINFdlO94A947,7.98,10.98,5-10,长安汽车,长安,长安UNI-V,ChwFkl9y_JqAVybMAAAUINDQ2uo180,ChxkmWKoEJ6AAS4uABrGkX7Xdrs758,ChsEdmKgrPCAUATZABuTzU4xHM4804,10.15,13.3,10-15,-2.17,0,0
汽车之家,缤瑞,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFlGIyj0WAQIqIACFgxfVihvQ669,ChxkqWJ7KJSAJhbMABINFdlO94A947,7.98,10.98,5-10,一汽,一汽,大众-宝来,ChsEeV26zOKAATwCAAAMlhPv54M195,ChxkqWKITYyAdpDcAArQxJVOvo8351,ChtliGKWu42AcIiqAArQxJVOvo8804,7.3,13.9,5-10,0.68,0,1
汽车之家,豪越,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChsEhWFlPCaAahSuACBONzN2PcU363,ChsEwGFhDA6AaWx8AB5DwGcUHc4494,10.36,14.26,10-15,长安汽车,长安,长安CS75 PLUS,ChwFkl9y_JqAVybMAAAUINDQ2uo180,ChxkqWIXWFqAQMK-ABRGYjV3L70092,ChxknGIXOzeABwsOACdRtonkgKM507,10.06,15.4,10-15,0.3,0,1
汽车之家,远景X3,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFkWBohEqARpq3ABdCIg9cu_g782,ChsEnmB0DJiARmb1ACYj8gJbxms363,4.99,6.89,1-5,长安汽车,长安,长安欧尚X5,ChwFkl9y_JqAVybMAAAUINDQ2uo180,ChwFkWG0iJOAFYtkAAvui_vsSUk612,ChwFkWGefNqAVLmzACPPbSlxuP8585,6.99,11.6,5-10,-2,0,0
汽车之家,远景X3,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFkWBohEqARpq3ABdCIg9cu_g782,ChsEnmB0DJiARmb1ACYj8gJbxms363,4.99,6.89,1-5,长安汽车,长安,悦翔,ChwFkl9y_JqAVybMAAAUINDQ2uo180,ChcCSF4djRSAIENpAAmjCL7Pal0952,ChcCR11nrgKACnxQAAaImYtGK0I717,4,6.1,1-5,0.99,0,1
汽车之家,远景X3,ChwEoWDylfGAOuKfAAA5bSitpkk273,ChwFkWBohEqARpq3ABdCIg9cu_g782,ChsEnmB0DJiARmb1ACYj8gJbxms363,4.99,6.89,1-5,几何汽车,几何,EX3 功夫牛,ChwEpmB_ieiAetXeAAAL_LI081Y702,ChsEvmFNp-aADW21ADaGRUuGMC0899,ChwFkWGnFJmAHB9VACEyYpQWjEQ234,4.67,7.5,1-5,0.32,0,1
汽车之家,远景X6,ChwEoWDylfGAOuKfAAA5bSitpkk273,Chxkj2FAbHKAHI_nAFZagYHeEew558,ChxkjmFprtGAG8XQACkPcIS9HQI962,7.59,8.99,5-10,长城汽车,长城,哈弗M6,ChwEl2D07IOARsLxAAAV_tLtRsA356,ChtliGJnb8mAI2NgAIB3_OeC1ss646,ChsEmF_kZ1SAc6rmADTADD8C70Y653,6,9.2,5-10,1.59,1,1
汽车之家,远景X6,ChwEoWDylfGAOuKfAAA5bSitpkk273,Chxkj2FAbHKAHI_nAFZagYHeEew558,ChxkjmFprtGAG8XQACkPcIS9HQI962,7.59,8.99,5-10,长安汽车,长安,长安欧尚X5,ChwFkl9y_JqAVybMAAAUINDQ2uo180,ChwFkWG0iJOAFYtkAAvui_vsSUk612,ChwFkWGefNqAVLmzACPPbSlxuP8585,6.99,11.6,5-10,0.6,0,1
汽车之家,远景X6,ChwEoWDylfGAOuKfAAA5bSitpkk273,Chxkj2FAbHKAHI_nAFZagYHeEew558,ChxkjmFprtGAG8XQACkPcIS9HQI962,7.59,8.99,5-10,长安汽车,长安,长安CS55PLUS,ChwFkl9y_JqAVybMAAAUINDQ2uo180,ChxkmWKVmNaAd21RAA7YqnRt9Wo622,ChwFkGF35oaAYqxDADTWioz5CYU282,8.6,12.1,5-10,-1.01,0,1
