detailedaddress,prefecture_id,prefecture_name,county_id,county_name,township_id,township_name,addresslevel,id,name,road_id,road_name,village_id,village_name,block_id,block_name,building_id,building_name,unit_id,unit_name,floor_id,floor_name,door_id,door_name,p_day,p_city,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,remark
杭州市西湖区双浦镇吴家村吴家村182号3层301号（CTT-转塘),2,杭州市,19,西湖区,270,双浦镇,7,18795400,301号（CTT-转塘),5582794,吴家村,\N,\N,\N,\N,18795394,吴家村182号,\N,\N,18795399,3层,18795400,301号（CTT-转塘),20220601,2,浙江省,杭州市,西湖区,双浦镇,吴家村,,,,,182号,,3层,301号,（CTT-转塘）
杭州市西湖区三墩镇祥余路五幸社区1幢1单元1层倪家坝35号-3,2,杭州市,19,西湖区,269,三墩镇,7,18981589,倪家坝35号-3,2205730,祥余路,14027037,五幸社区,\N,\N,18979149,1幢,18979150,1单元,18979151,1层,18981589,倪家坝35号-3,20220601,2,浙江省,杭州市,西湖区,三墩镇,五幸社区,祥余路,,倪家坝,,1幢,1单元,1层,35号3,-
杭州市西湖区双浦镇灵山村灵山村韩胜荣2幢101,2,杭州市,19,西湖区,270,双浦镇,7,31389845,101,8260761,灵山村,31389572,灵山村,\N,\N,31389844,韩胜荣2幢,\N,\N,\N,\N,31389845,101,20220601,2,浙江省,杭州市,西湖区,双浦镇,灵山村,,,韩胜荣,,2幢,,,101,
杭州市西湖区文新街道文一西路雅仕苑小区商铺153号商铺21层文一西路157号,2,杭州市,19,西湖区,271,文新街道,7,15664776,文一西路157号,1445,文一西路,15664735,雅仕苑小区商铺,\N,\N,15664746,153号,15664748,商铺2,15664750,1层,15664776,文一西路157号,20220601,2,浙江省,杭州市,西湖区,文新街道,,文一西路,,雅仕苑小区商铺,,153号,,1层,157号,商铺2
杭州市西湖区蒋村街道五常港路融创河滨之城西区9幢1单元10楼,2,杭州市,19,西湖区,5126,蒋村街道,6,88626928,0楼,33541913,五常港路,88626447,融创河滨之城,88626653,西区,88626926,9幢1,88626927,单元1,88626928,0楼,\N,\N,20220601,2,浙江省,杭州市,西湖区,蒋村街道,,五常港路,,融创河滨之城,西区,9幢,,0楼,1,单元1
杭州市西湖区文新街道府新社区五联西苑378号2单元5层,2,杭州市,19,西湖区,271,文新街道,6,55607986,5层,39243,府新社区,5557064,五联西苑,\N,\N,55606294,378号,55606296,2单元,55607986,5层,\N,\N,20220601,2,浙江省,杭州市,西湖区,文新街道,府新社区,,,五联西苑,,378号,2单元,5层,,
杭州市西湖区三墩镇厚诚路厚诚社区_卸紫桥_庙前街42号1层101（CTT-高新）,2,杭州市,19,西湖区,269,三墩镇,7,25192052,101（CTT-高新）,40350,厚诚路,10556554,厚诚社区_,20766980,卸紫桥_,25192050,庙前街42号,\N,\N,25192051,1层,25192052,101（CTT-高新）,20220601,2,浙江省,杭州市,西湖区,三墩镇,厚诚社区,厚诚路卸紫桥庙前街,42号,,,,,1层,101,（CTT-高新）
杭州市西湖区双浦镇袁浦街沿街商铺袁浦街32号商铺,2,杭州市,19,西湖区,270,双浦镇,4,28561047,袁浦街32号商铺,2416632,袁浦街,28560785,沿街商铺,\N,\N,28561047,袁浦街32号商铺,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,双浦镇,,袁浦街,,沿街商铺袁浦街32号商铺,,,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭13号,2,杭州市,19,西湖区,274,转塘镇,4,18783776,13号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783776,13号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,13号,,,,
杭州市西湖区西溪街道保俶路沿山河新村35号9幢,2,杭州市,19,西湖区,273,西溪街道,4,54981798,9幢,2204619,保俶路,33568185,沿山河新村,54981797,35号,54981798,9幢,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,西溪街道,沿山河新村,保俶路,35号,,,9幢,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭13号,2,杭州市,19,西湖区,274,转塘镇,4,18783776,13号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783776,13号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,13号,,,,
杭州市西湖区翠苑街道文一路工商大学（教工路）12号中楼4层401室,2,杭州市,19,西湖区,263,翠苑街道,4,8975048,12号中楼4层401室,4862,文一路,\N,\N,4861,工商大学（教工路）,8975048,12号中楼4层401室,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,翠苑街道,,文一路,,工商大学12号中楼,,,,4层,401室,（教工路）
杭州市西湖区翠苑街道文一路工商大学（教工路）12号东楼3层305室,2,杭州市,19,西湖区,263,翠苑街道,4,8974959,12号东楼3层305室,4862,文一路,\N,\N,4861,工商大学（教工路）,8974959,12号东楼3层305室,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,翠苑街道,,文一路,,工商大学12号东楼,,,,3层,305室,（教工路）
杭州市西湖区翠苑街道文一路工商大学（教工路）12号中楼3层305室,2,杭州市,19,西湖区,263,翠苑街道,4,8975047,12号中楼3层305室,4862,文一路,\N,\N,4861,工商大学（教工路）,8975047,12号中楼3层305室,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,翠苑街道,,文一路,,工商大学12号中楼,,,,3层,305室,（教工路）
杭州市西湖区翠苑街道文一路工商大学（教工路）12号东楼4层401室,2,杭州市,19,西湖区,263,翠苑街道,4,8974960,12号东楼4层401室,4862,文一路,\N,\N,4861,工商大学（教工路）,8974960,12号东楼4层401室,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,翠苑街道,,文一路,,工商大学12号东楼,,,,4层,401室,（教工路）
杭州市西湖区翠苑街道文一路工商大学（教工路）12号中楼1层103室,2,杭州市,19,西湖区,263,翠苑街道,4,8975035,12号中楼1层103室,4862,文一路,\N,\N,4861,工商大学（教工路）,8975035,12号中楼1层103室,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,翠苑街道,,文一路,,工商大学12号中楼,,,,1层,103室,（教工路）
杭州市西湖区留下镇西溪路小龙驹坞东方中学综合楼2单元1F,2,杭州市,19,西湖区,267,留下镇,6,83886868,1F,1370,西溪路,83886820,小龙驹坞,83886821,东方中学,83886860,综合楼,83886867,2单元,83886868,1F,\N,\N,20220601,2,浙江省,杭州市,西湖区,留下镇,,西溪路,,小龙驹坞东方中学综合楼,,,2单元,1层,,
杭州市西湖区留下镇西溪路小龙驹坞东方中学综合楼2单元5F,2,杭州市,19,西湖区,267,留下镇,6,83886872,5F,1370,西溪路,83886820,小龙驹坞,83886821,东方中学,83886860,综合楼,83886867,2单元,83886872,5F,\N,\N,20220601,2,浙江省,杭州市,西湖区,留下镇,,西溪路,,小龙驹坞东方中学综合楼,,,2单元,5层,,
杭州市西湖区留下镇西溪路小龙驹坞东方中学综合楼2单元4F,2,杭州市,19,西湖区,267,留下镇,6,83886871,4F,1370,西溪路,83886820,小龙驹坞,83886821,东方中学,83886860,综合楼,83886867,2单元,83886871,4F,\N,\N,20220601,2,浙江省,杭州市,西湖区,留下镇,,西溪路,,小龙驹坞东方中学综合楼,,,2单元,4层,,
杭州市西湖区留下镇西溪路小龙驹坞东方中学综合楼2单元2F,2,杭州市,19,西湖区,267,留下镇,6,83886869,2F,1370,西溪路,83886820,小龙驹坞,83886821,东方中学,83886860,综合楼,83886867,2单元,83886869,2F,\N,\N,20220601,2,浙江省,杭州市,西湖区,留下镇,,西溪路,,小龙驹坞东方中学综合楼,,,2单元,2层,,
杭州市西湖区留下镇西溪路小龙驹坞东方中学综合楼2单元3F,2,杭州市,19,西湖区,267,留下镇,6,83886870,3F,1370,西溪路,83886820,小龙驹坞,83886821,东方中学,83886860,综合楼,83886867,2单元,83886870,3F,\N,\N,20220601,2,浙江省,杭州市,西湖区,留下镇,,西溪路,,小龙驹坞东方中学综合楼,,,2单元,3层,,
杭州市西湖区转塘镇之江路182号浙江工业大学之江校区14号教学楼2单元2F,2,杭州市,19,西湖区,274,转塘镇,6,82623841,2F,1545,之江路,14156544,182号,82622374,浙江工业大学之江校区,82623814,14号教学楼,82623836,2单元,82623841,2F,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,之江路,182号,浙江工业大学之江校区14号教学楼,,,2单元,2层,,
杭州市西湖区转塘镇之江路182号浙江工业大学之江校区14号教学楼2单元3F,2,杭州市,19,西湖区,274,转塘镇,6,82623844,3F,1545,之江路,14156544,182号,82622374,浙江工业大学之江校区,82623814,14号教学楼,82623836,2单元,82623844,3F,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,之江路,182号,浙江工业大学之江校区14号教学楼,,,2单元,3层,,
杭州市西湖区西溪街道保俶路沿山河新村35号9幢,2,杭州市,19,西湖区,273,西溪街道,4,54981798,9幢,2204619,保俶路,33568185,沿山河新村,54981797,35号,54981798,9幢,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,西溪街道,沿山河新村,保俶路,35号,,,9幢,,,,
杭州市西湖区西溪街道保俶路沿山河新村34号9幢,2,杭州市,19,西湖区,273,西溪街道,4,54981711,9幢,2204619,保俶路,33568185,沿山河新村,54981710,34号,54981711,9幢,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,西溪街道,沿山河新村,保俶路,34号,,,9幢,,,,
杭州市西湖区三墩镇塘河社区杨家塘村茹家斗东38幢,2,杭州市,19,西湖区,269,三墩镇,4,37349686,38幢,58780336,塘河社区,32913698,杨家塘村,37349685,茹家斗东,37349686,38幢,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,三墩镇,塘河社区,,,杨家塘村茹家斗东,,38幢,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭40号,2,杭州市,19,西湖区,274,转塘镇,4,18783861,40号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783861,40号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,40号,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭47号,2,杭州市,19,西湖区,274,转塘镇,4,18783906,47号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783906,47号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,47号,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭5号,2,杭州市,19,西湖区,274,转塘镇,4,18783739,5号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783739,5号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,5号,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭13号,2,杭州市,19,西湖区,274,转塘镇,4,18783776,13号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783776,13号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,13号,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭5号西2,2,杭州市,19,西湖区,274,转塘镇,4,18783747,5号西2,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783747,5号西2,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,5号,,,2,西
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭8号,2,杭州市,19,西湖区,274,转塘镇,4,18783756,8号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783756,8号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,8号,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭7号,2,杭州市,19,西湖区,274,转塘镇,4,18783745,7号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783745,7号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,7号,,,,
杭州市西湖区转塘镇留泗路叶埠桥村朱家埭1号,2,杭州市,19,西湖区,274,转塘镇,4,18783805,1号,137753,留泗路,18512379,叶埠桥村,18783715,朱家埭,18783805,1号,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,叶埠桥村,留泗路,,朱家埭,,1号,,,,
杭州市西湖区翠苑街道文一路工商大学（教工路）12号楼宇,2,杭州市,19,西湖区,263,翠苑街道,4,264182,12号楼宇,4862,文一路,\N,\N,4861,工商大学（教工路）,264182,12号楼宇,\N,\N,\N,\N,\N,\N,20220601,2,浙江省,杭州市,西湖区,翠苑街道,,文一路,,工商大学宇,,12幢,,,,（教工路）
杭州市西湖区转塘镇科海路钱江BLOCK一期2单元3层,2,杭州市,19,西湖区,274,转塘镇,6,39235883,3层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180870,2单元,39235883,3层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,2单元,3层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期2单元地下室,2,杭州市,19,西湖区,274,转塘镇,6,39180872,地下室,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180870,2单元,39180872,地下室,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK地下室,1期,,2单元,,,
杭州市西湖区转塘镇科海路钱江BLOCK一期2单元2层,2,杭州市,19,西湖区,274,转塘镇,6,39235879,2层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180870,2单元,39235879,2层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,2单元,2层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期2单元5层,2,杭州市,19,西湖区,274,转塘镇,6,39235891,5层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180870,2单元,39235891,5层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,2单元,5层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期2单元4层,2,杭州市,19,西湖区,274,转塘镇,6,39235887,4层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180870,2单元,39235887,4层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,2单元,4层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期2单元6层,2,杭州市,19,西湖区,274,转塘镇,6,39235895,6层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180870,2单元,39235895,6层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,2单元,6层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期2单元1层,2,杭州市,19,西湖区,274,转塘镇,6,39235875,1层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180870,2单元,39235875,1层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,2单元,1层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期3单元1层,2,杭州市,19,西湖区,274,转塘镇,6,39235601,1层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180782,3单元,39235601,1层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,3单元,1层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期3单元地下室,2,杭州市,19,西湖区,274,转塘镇,6,39180784,地下室,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180782,3单元,39180784,地下室,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK地下室,1期,,3单元,,,
杭州市西湖区转塘镇科海路钱江BLOCK一期3单元3层,2,杭州市,19,西湖区,274,转塘镇,6,39235609,3层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180782,3单元,39235609,3层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,3单元,3层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期3单元5层,2,杭州市,19,西湖区,274,转塘镇,6,39235617,5层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180782,3单元,39235617,5层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,3单元,5层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期3单元6层,2,杭州市,19,西湖区,274,转塘镇,6,39235621,6层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180782,3单元,39235621,6层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,3单元,6层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期3单元4层,2,杭州市,19,西湖区,274,转塘镇,6,39235613,4层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180782,3单元,39235613,4层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,3单元,4层,,
杭州市西湖区转塘镇科海路钱江BLOCK一期3单元2层,2,杭州市,19,西湖区,274,转塘镇,6,39235605,2层,38399322,科海路,\N,\N,39171985,钱江BLOCK,39180362,一期,39180782,3单元,39235605,2层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,科海路,,钱江BLOCK,1期,,3单元,2层,,
杭州市西湖区转塘镇镇中路村口家园2期24幢2单元9层,2,杭州市,19,西湖区,274,转塘镇,6,80575541,9层,75115655,镇中路,98979446,村口家园,80575033,2期,80575478,24幢,80575504,2单元,80575541,9层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,镇中路,,村口家园,2期,24幢,2单元,9层,,
杭州市西湖区转塘镇镇中路村口家园2期24幢2单元6层,2,杭州市,19,西湖区,274,转塘镇,6,80575527,6层,75115655,镇中路,98979446,村口家园,80575033,2期,80575478,24幢,80575504,2单元,80575527,6层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,镇中路,,村口家园,2期,24幢,2单元,6层,,
杭州市西湖区转塘镇镇中路村口家园2期24幢2单元11层,2,杭州市,19,西湖区,274,转塘镇,6,80575551,11层,75115655,镇中路,98979446,村口家园,80575033,2期,80575478,24幢,80575504,2单元,80575551,11层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,镇中路,,村口家园,2期,24幢,2单元,11层,,
杭州市西湖区转塘镇镇中路村口家园2期24幢2单元3层,2,杭州市,19,西湖区,274,转塘镇,6,80575515,3层,75115655,镇中路,98979446,村口家园,80575033,2期,80575478,24幢,80575504,2单元,80575515,3层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,镇中路,,村口家园,2期,24幢,2单元,3层,,
杭州市西湖区转塘镇镇中路村口家园2期24幢2单元1层,2,杭州市,19,西湖区,274,转塘镇,6,80575506,1层,75115655,镇中路,98979446,村口家园,80575033,2期,80575478,24幢,80575504,2单元,80575506,1层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,镇中路,,村口家园,2期,24幢,2单元,1层,,
杭州市西湖区转塘镇镇中路村口家园2期24幢2单元5层,2,杭州市,19,西湖区,274,转塘镇,6,80575522,5层,75115655,镇中路,98979446,村口家园,80575033,2期,80575478,24幢,80575504,2单元,80575522,5层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,镇中路,,村口家园,2期,24幢,2单元,5层,,
杭州市西湖区转塘镇镇中路村口家园2期24幢2单元7层,2,杭州市,19,西湖区,274,转塘镇,6,80575532,7层,75115655,镇中路,98979446,村口家园,80575033,2期,80575478,24幢,80575504,2单元,80575532,7层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,镇中路,,村口家园,2期,24幢,2单元,7层,,
杭州市西湖区转塘镇镇中路村口家园2期24幢2单元10层,2,杭州市,19,西湖区,274,转塘镇,6,80575546,10层,75115655,镇中路,98979446,村口家园,80575033,2期,80575478,24幢,80575504,2单元,80575546,10层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,镇中路,,村口家园,2期,24幢,2单元,10层,,
杭州市西湖区转塘镇镇中路村口家园2期24幢2单元8层,2,杭州市,19,西湖区,274,转塘镇,6,80575537,8层,75115655,镇中路,98979446,村口家园,80575033,2期,80575478,24幢,80575504,2单元,80575537,8层,\N,\N,20220601,2,浙江省,杭州市,西湖区,转塘镇,,镇中路,,村口家园,2期,24幢,2单元,8层,,
杭州市西湖区翠苑街道古翠路翠苑新村三区71幢3单元西北侧,2,杭州市,19,西湖区,263,翠苑街道,6,108199454,西北侧,2204616,古翠路,108198815,翠苑新村,108198819,三区,108198873,71幢,108198874,3单元,108199454,西北侧,\N,\N,20220601,2,浙江省,杭州市,西湖区,翠苑街道,翠苑新村,古翠路,,,3区,71幢,3单元,,,西北侧
杭州市西湖区留下镇屏基山路山缘老人公寓15幢22,2,杭州市,19,西湖区,267,留下镇,6,39124987,2,63517927,屏基山路,39096612,山缘老人公寓,\N,\N,39096841,15幢,39124979,2,39124987,2,\N,\N,20220601,2,浙江省,杭州市,西湖区,留下镇,,屏基山路,,山缘老人公寓,,15幢,2,2,,
